První účast na KVIFF	Země	Latitude	Longitude	Production country appearances	Filmů celkem	Filmů celkem k danému roku	Podíl koprodukcí	Koprodukce s Českem	Kontinent	První účast na KVIFF	Zatím poslední účast na KVIFF	Nejvýraznější rok	Top koprodukční partneři	Ukázkové filmy	DetailKey	Metric
07.01.1995	Senegal	14.5	-14.5	1	4	1	100 %	0	Afrika	1995	2024	2024 (1)	France (4); Canada (1)	2024: Money Order; 2022: Saloum; 2003: Madame Brouette; 1995: BabaÂ´s Journey - An African Dream	Senegal	Production country appearances in KVIFF catalogue
07.01.2003	Senegal	14.5	-14.5	1	4	2	100 %	0	Afrika	1995	2024	2024 (1)	France (4); Canada (1)	2024: Money Order; 2022: Saloum; 2003: Madame Brouette; 1995: BabaÂ´s Journey - An African Dream	Senegal	Production country appearances in KVIFF catalogue
07.01.2022	Senegal	14.5	-14.5	1	4	3	100 %	0	Afrika	1995	2024	2024 (1)	France (4); Canada (1)	2024: Money Order; 2022: Saloum; 2003: Madame Brouette; 1995: BabaÂ´s Journey - An African Dream	Senegal	Production country appearances in KVIFF catalogue
07.01.2024	Senegal	14.5	-14.5	1	4	4	100 %	0	Afrika	1995	2024	2024 (1)	France (4); Canada (1)	2024: Money Order; 2022: Saloum; 2003: Madame Brouette; 1995: BabaÂ´s Journey - An African Dream	Senegal	Production country appearances in KVIFF catalogue
07.01.2026	Senegal	14.5	-14.5	1	4	5	100 %	0	Afrika	1995	2024	2024 (1)	France (4); Canada (1)	2024: Money Order; 2022: Saloum; 2003: Madame Brouette; 1995: BabaÂ´s Journey - An African Dream	Senegal	Production country appearances in KVIFF catalogue
07.01.2006	Sierra Leone	8.5	-11.8	1	1	1	100 %	0	Afrika	2006	2006	2006 (1)	Guinea (1); USA (1)	2006: Refugee All Stars	Sierra Leone	Production country appearances in KVIFF catalogue
07.01.2024	Somalia	5.2	46.2	1	1	1	100 %	0	Afrika	2024	2024	2024 (1)	Austria (1); France (1); Germany (1)	2024: Village Next To Paradise	Somalia	Production country appearances in KVIFF catalogue
07.01.2005	South Africa	-30.6	22.9	2	11	2	72.7 %	1	Afrika	2005	2023	2006 (3)	USA (3); United Kingdom (3); Netherlands (2); Canada (1); China (1); Uganda (1); Luxembourg (1); India (1)	2023: Here & Elsewhere; 2023: Omen; 2013: Dredd; 2012: Under African Skies; 2008: Divizionz	South Africa	Production country appearances in KVIFF catalogue
07.01.2006	South Africa	-30.6	22.9	3	11	5	72.7 %	1	Afrika	2005	2023	2006 (3)	USA (3); United Kingdom (3); Netherlands (2); Canada (1); China (1); Uganda (1); Luxembourg (1); India (1)	2023: Here & Elsewhere; 2023: Omen; 2013: Dredd; 2012: Under African Skies; 2008: Divizionz	South Africa	Production country appearances in KVIFF catalogue
07.01.2007	South Africa	-30.6	22.9	1	11	6	72.7 %	1	Afrika	2005	2023	2006 (3)	USA (3); United Kingdom (3); Netherlands (2); Canada (1); China (1); Uganda (1); Luxembourg (1); India (1)	2023: Here & Elsewhere; 2023: Omen; 2013: Dredd; 2012: Under African Skies; 2008: Divizionz	South Africa	Production country appearances in KVIFF catalogue
07.01.2008	South Africa	-30.6	22.9	1	11	7	72.7 %	1	Afrika	2005	2023	2006 (3)	USA (3); United Kingdom (3); Netherlands (2); Canada (1); China (1); Uganda (1); Luxembourg (1); India (1)	2023: Here & Elsewhere; 2023: Omen; 2013: Dredd; 2012: Under African Skies; 2008: Divizionz	South Africa	Production country appearances in KVIFF catalogue
07.01.2012	South Africa	-30.6	22.9	1	11	8	72.7 %	1	Afrika	2005	2023	2006 (3)	USA (3); United Kingdom (3); Netherlands (2); Canada (1); China (1); Uganda (1); Luxembourg (1); India (1)	2023: Here & Elsewhere; 2023: Omen; 2013: Dredd; 2012: Under African Skies; 2008: Divizionz	South Africa	Production country appearances in KVIFF catalogue
07.01.2013	South Africa	-30.6	22.9	1	11	9	72.7 %	1	Afrika	2005	2023	2006 (3)	USA (3); United Kingdom (3); Netherlands (2); Canada (1); China (1); Uganda (1); Luxembourg (1); India (1)	2023: Here & Elsewhere; 2023: Omen; 2013: Dredd; 2012: Under African Skies; 2008: Divizionz	South Africa	Production country appearances in KVIFF catalogue
07.01.2023	South Africa	-30.6	22.9	2	11	11	72.7 %	1	Afrika	2005	2023	2006 (3)	USA (3); United Kingdom (3); Netherlands (2); Canada (1); China (1); Uganda (1); Luxembourg (1); India (1)	2023: Here & Elsewhere; 2023: Omen; 2013: Dredd; 2012: Under African Skies; 2008: Divizionz	South Africa	Production country appearances in KVIFF catalogue
07.01.2022	Sudan	12.9	30.2	1	2	1	100 %	0	Afrika	2022	2023	2023 (1)	France (2); Germany (2); Lebanon (1); Serbia (1); Qatar (1); Egypt (1); Saudi Arabia (1); Sweden (1)	2023: Goodbye Julia; 2022: Dam	Sudan	Production country appearances in KVIFF catalogue
07.01.2023	Sudan	12.9	30.2	1	2	2	100 %	0	Afrika	2022	2023	2023 (1)	France (2); Germany (2); Lebanon (1); Serbia (1); Qatar (1); Egypt (1); Saudi Arabia (1); Sweden (1)	2023: Goodbye Julia; 2022: Dam	Sudan	Production country appearances in KVIFF catalogue
07.01.2014	Tanzania	-6.4	34.9	1	1	1	100 %	0	Afrika	2014	2014	2014 (1)	Italy (1); Germany (1)	2014: White Shadow	Tanzania	Production country appearances in KVIFF catalogue
07.01.1997	Tunisia	33.9	9.5	1	14	1	92.9 %	0	Afrika	1997	2025	2022 (3)	France (9); Qatar (5); Belgium (4); Switzerland (2); United Arab Emirates (2); Lebanon (2); Palestine (1); Netherlands (1)	2025: Promised Sky; 2024: Who Do IÂ BelongÂ To; 2022: Under the Fig Trees; 2022: Harka; 2022: Beirut the Encounter	Tunisia	Production country appearances in KVIFF catalogue
07.01.1998	Tunisia	33.9	9.5	1	14	2	92.9 %	0	Afrika	1997	2025	2022 (3)	France (9); Qatar (5); Belgium (4); Switzerland (2); United Arab Emirates (2); Lebanon (2); Palestine (1); Netherlands (1)	2025: Promised Sky; 2024: Who Do IÂ BelongÂ To; 2022: Under the Fig Trees; 2022: Harka; 2022: Beirut the Encounter	Tunisia	Production country appearances in KVIFF catalogue
07.01.2002	Tunisia	33.9	9.5	1	14	3	92.9 %	0	Afrika	1997	2025	2022 (3)	France (9); Qatar (5); Belgium (4); Switzerland (2); United Arab Emirates (2); Lebanon (2); Palestine (1); Netherlands (1)	2025: Promised Sky; 2024: Who Do IÂ BelongÂ To; 2022: Under the Fig Trees; 2022: Harka; 2022: Beirut the Encounter	Tunisia	Production country appearances in KVIFF catalogue
07.01.2003	Tunisia	33.9	9.5	1	14	4	92.9 %	0	Afrika	1997	2025	2022 (3)	France (9); Qatar (5); Belgium (4); Switzerland (2); United Arab Emirates (2); Lebanon (2); Palestine (1); Netherlands (1)	2025: Promised Sky; 2024: Who Do IÂ BelongÂ To; 2022: Under the Fig Trees; 2022: Harka; 2022: Beirut the Encounter	Tunisia	Production country appearances in KVIFF catalogue
07.01.2009	Tunisia	33.9	9.5	1	14	5	92.9 %	0	Afrika	1997	2025	2022 (3)	France (9); Qatar (5); Belgium (4); Switzerland (2); United Arab Emirates (2); Lebanon (2); Palestine (1); Netherlands (1)	2025: Promised Sky; 2024: Who Do IÂ BelongÂ To; 2022: Under the Fig Trees; 2022: Harka; 2022: Beirut the Encounter	Tunisia	Production country appearances in KVIFF catalogue
07.01.2016	Tunisia	33.9	9.5	1	14	6	92.9 %	0	Afrika	1997	2025	2022 (3)	France (9); Qatar (5); Belgium (4); Switzerland (2); United Arab Emirates (2); Lebanon (2); Palestine (1); Netherlands (1)	2025: Promised Sky; 2024: Who Do IÂ BelongÂ To; 2022: Under the Fig Trees; 2022: Harka; 2022: Beirut the Encounter	Tunisia	Production country appearances in KVIFF catalogue
07.01.2017	Tunisia	33.9	9.5	1	14	7	92.9 %	0	Afrika	1997	2025	2022 (3)	France (9); Qatar (5); Belgium (4); Switzerland (2); United Arab Emirates (2); Lebanon (2); Palestine (1); Netherlands (1)	2025: Promised Sky; 2024: Who Do IÂ BelongÂ To; 2022: Under the Fig Trees; 2022: Harka; 2022: Beirut the Encounter	Tunisia	Production country appearances in KVIFF catalogue
07.01.2018	Tunisia	33.9	9.5	1	14	8	92.9 %	0	Afrika	1997	2025	2022 (3)	France (9); Qatar (5); Belgium (4); Switzerland (2); United Arab Emirates (2); Lebanon (2); Palestine (1); Netherlands (1)	2025: Promised Sky; 2024: Who Do IÂ BelongÂ To; 2022: Under the Fig Trees; 2022: Harka; 2022: Beirut the Encounter	Tunisia	Production country appearances in KVIFF catalogue
07.01.2019	Tunisia	33.9	9.5	1	14	9	92.9 %	0	Afrika	1997	2025	2022 (3)	France (9); Qatar (5); Belgium (4); Switzerland (2); United Arab Emirates (2); Lebanon (2); Palestine (1); Netherlands (1)	2025: Promised Sky; 2024: Who Do IÂ BelongÂ To; 2022: Under the Fig Trees; 2022: Harka; 2022: Beirut the Encounter	Tunisia	Production country appearances in KVIFF catalogue
07.01.2022	Tunisia	33.9	9.5	3	14	12	92.9 %	0	Afrika	1997	2025	2022 (3)	France (9); Qatar (5); Belgium (4); Switzerland (2); United Arab Emirates (2); Lebanon (2); Palestine (1); Netherlands (1)	2025: Promised Sky; 2024: Who Do IÂ BelongÂ To; 2022: Under the Fig Trees; 2022: Harka; 2022: Beirut the Encounter	Tunisia	Production country appearances in KVIFF catalogue
07.01.2024	Tunisia	33.9	9.5	1	14	13	92.9 %	0	Afrika	1997	2025	2022 (3)	France (9); Qatar (5); Belgium (4); Switzerland (2); United Arab Emirates (2); Lebanon (2); Palestine (1); Netherlands (1)	2025: Promised Sky; 2024: Who Do IÂ BelongÂ To; 2022: Under the Fig Trees; 2022: Harka; 2022: Beirut the Encounter	Tunisia	Production country appearances in KVIFF catalogue
07.01.2025	Tunisia	33.9	9.5	1	14	14	92.9 %	0	Afrika	1997	2025	2022 (3)	France (9); Qatar (5); Belgium (4); Switzerland (2); United Arab Emirates (2); Lebanon (2); Palestine (1); Netherlands (1)	2025: Promised Sky; 2024: Who Do IÂ BelongÂ To; 2022: Under the Fig Trees; 2022: Harka; 2022: Beirut the Encounter	Tunisia	Production country appearances in KVIFF catalogue
07.01.2008	Uganda	1.4	32.3	1	1	1	100 %	0	Afrika	2008	2008	2008 (1)	South Africa (1); United Kingdom (1); Luxembourg (1)	2008: Divizionz	Uganda	Production country appearances in KVIFF catalogue
07.01.2024	Zambia	-13.1	27.8	1	1	1	100 %	0	Afrika	2024	2024	2024 (1)	United Kingdom (1); Ireland (1)	2024: On Becoming aÂ Guinea Fowl	Zambia	Production country appearances in KVIFF catalogue
07.01.2000	Zimbabwe	-19	29.2	2	2	2	100 %	2	Afrika	2000	2000	2000 (2)	Czech Republic (2); Slovak Republic (2)	2000: A Fountain for Susan 3; 2000: All My Loved Ones	Zimbabwe	Production country appearances in KVIFF catalogue
07.01.2001	Uruguay	-32.5	-55.8	1	16	1	87.5 %	0	Amerika (Jižní)	2001	2022	2019 (2)	Argentina (10); Germany (6); Spain (4); Netherlands (3); France (3); Brazil (3); Canada (1); Italy (1)	2022: Utama; 2021: Employer and the Employee; 2019: Monos; 2019: Sharks; 2018: Loveling	Uruguay	Production country appearances in KVIFF catalogue
07.01.2002	Uruguay	-32.5	-55.8	1	16	2	87.5 %	0	Amerika (Jižní)	2001	2022	2019 (2)	Argentina (10); Germany (6); Spain (4); Netherlands (3); France (3); Brazil (3); Canada (1); Italy (1)	2022: Utama; 2021: Employer and the Employee; 2019: Monos; 2019: Sharks; 2018: Loveling	Uruguay	Production country appearances in KVIFF catalogue
07.01.2004	Uruguay	-32.5	-55.8	1	16	3	87.5 %	0	Amerika (Jižní)	2001	2022	2019 (2)	Argentina (10); Germany (6); Spain (4); Netherlands (3); France (3); Brazil (3); Canada (1); Italy (1)	2022: Utama; 2021: Employer and the Employee; 2019: Monos; 2019: Sharks; 2018: Loveling	Uruguay	Production country appearances in KVIFF catalogue
07.01.2006	Uruguay	-32.5	-55.8	1	16	4	87.5 %	0	Amerika (Jižní)	2001	2022	2019 (2)	Argentina (10); Germany (6); Spain (4); Netherlands (3); France (3); Brazil (3); Canada (1); Italy (1)	2022: Utama; 2021: Employer and the Employee; 2019: Monos; 2019: Sharks; 2018: Loveling	Uruguay	Production country appearances in KVIFF catalogue
07.01.2009	Uruguay	-32.5	-55.8	2	16	6	87.5 %	0	Amerika (Jižní)	2001	2022	2019 (2)	Argentina (10); Germany (6); Spain (4); Netherlands (3); France (3); Brazil (3); Canada (1); Italy (1)	2022: Utama; 2021: Employer and the Employee; 2019: Monos; 2019: Sharks; 2018: Loveling	Uruguay	Production country appearances in KVIFF catalogue
07.01.2010	Uruguay	-32.5	-55.8	1	16	7	87.5 %	0	Amerika (Jižní)	2001	2022	2019 (2)	Argentina (10); Germany (6); Spain (4); Netherlands (3); France (3); Brazil (3); Canada (1); Italy (1)	2022: Utama; 2021: Employer and the Employee; 2019: Monos; 2019: Sharks; 2018: Loveling	Uruguay	Production country appearances in KVIFF catalogue
07.01.2012	Uruguay	-32.5	-55.8	1	16	8	87.5 %	0	Amerika (Jižní)	2001	2022	2019 (2)	Argentina (10); Germany (6); Spain (4); Netherlands (3); France (3); Brazil (3); Canada (1); Italy (1)	2022: Utama; 2021: Employer and the Employee; 2019: Monos; 2019: Sharks; 2018: Loveling	Uruguay	Production country appearances in KVIFF catalogue
07.01.2014	Uruguay	-32.5	-55.8	1	16	9	87.5 %	0	Amerika (Jižní)	2001	2022	2019 (2)	Argentina (10); Germany (6); Spain (4); Netherlands (3); France (3); Brazil (3); Canada (1); Italy (1)	2022: Utama; 2021: Employer and the Employee; 2019: Monos; 2019: Sharks; 2018: Loveling	Uruguay	Production country appearances in KVIFF catalogue
07.01.2015	Uruguay	-32.5	-55.8	1	16	10	87.5 %	0	Amerika (Jižní)	2001	2022	2019 (2)	Argentina (10); Germany (6); Spain (4); Netherlands (3); France (3); Brazil (3); Canada (1); Italy (1)	2022: Utama; 2021: Employer and the Employee; 2019: Monos; 2019: Sharks; 2018: Loveling	Uruguay	Production country appearances in KVIFF catalogue
07.01.2016	Uruguay	-32.5	-55.8	1	16	11	87.5 %	0	Amerika (Jižní)	2001	2022	2019 (2)	Argentina (10); Germany (6); Spain (4); Netherlands (3); France (3); Brazil (3); Canada (1); Italy (1)	2022: Utama; 2021: Employer and the Employee; 2019: Monos; 2019: Sharks; 2018: Loveling	Uruguay	Production country appearances in KVIFF catalogue
